region,comuna,administra,psu,nem
Metropolitana,El Monte,Particular Subvencionado,430.4949,5.2908
Metropolitana,San Bernardo,Municipal,429.4524,5.3967
Metropolitana,Paine,Municipal,429.2863,5.5104
Metropolitana,Buin,Municipal,428.8694,5.5175
Metropolitana,El Monte,Municipal,428.7778,5.6065
Metropolitana,Estacion Central,Municipal,428.2442,5.3720
Metropolitana,Pudahuel,Municipal,428.0023,5.4216
Metropolitana,Curacaví,Municipal,427.2456,5.7018
Metropolitana,San Pedro,Municipal,426.6721,5.4867
Metropolitana,Cerro Navia,Particular Subvencionado,425.9631,5.3676
Metropolitana,Til-Til,Municipal,425.5593,5.4344
Metropolitana,Pirque,Municipal,424.7917,5.3830
Metropolitana,Calera De Tango,Particular Subvencionado,421.2867,5.3436
Metropolitana,La Granja,Municipal,421.1554,5.3503
Metropolitana,Maria Pinto,Municipal,420.5000,5.4523
Metropolitana,Lo Prado,Municipal,419.1667,5.3520
Metropolitana,Cerrillos,Municipal,416.7105,5.5557
Metropolitana,Melipilla,Municipal,415.2205,5.3932
Metropolitana,Pedro Aguirre Cerda,Municipal,414.6216,5.4018
Metropolitana,Cerro Navia,Municipal,412.7813,5.3905
Metropolitana,Calera De Tango,Municipal,409.0329,5.5654
Metropolitana,San José De Maipo,Municipal,407.7534,5.3365
Metropolitana,Lampa,Municipal,407.7133,5.5669
Metropolitana,Quilicura,Municipal,405.4583,5.3809
Metropolitanq,La Pintana,Municipal,404.5155,5.4496
Metropolitana,San Ramón,Municipal,398.5584,5.3080
Metropolitana,Lo Espejo,Municipal,394.0038,5.2799
Metropolitana,San Joaquín,Municipal,391.5121,5.5121
Metropolitana,Padre Hurtado,Municipal,389.7449,5.3647
Metropolitana,Huechuraba,Municipal,389.7326,5.3355
